jppfs_cor:NetAssets,純資産,Net assets,Net assets
jppfs_cor:LiabilitiesAndNetAssets,負債純資産,Liabilities and net assets,Liabilities and net assets
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
jppfs_cor:OperatingRevenue1Abstract,営業収益 [タイトル項目],Operating revenue,Operating revenue-1 [abstract]
jppfs_cor:FinancialRevenue,金融収益,Financial revenue,Financial revenue
jppfs_cor:NetSalesAbstract,売上高 [タイトル項目],Net sales,Net sales [abstract]
jppfs_cor:RealEstateSalesRevOA,不動産売上高、営業活動による収益,Real estate sales,Real estate sales-RevOA
jppfs_cor:RentIncomeOfRealEstateRevOA,不動産賃貸収入、営業活動による収益,Rent income of real estate,Rent income of real estate-RevOA
jppfs_cor:NetSales,売上高,Net sales,Net sales
jppfs_cor:OtherOperatingRevenue1RevOA,その他の営業収益、営業活動による収益,Other operating revenue,Other operating revenue-1-RevOA
jppfs_cor:OperatingRevenue1,営業収益,Operating revenue,Operating revenue-1
jppfs_cor:OperatingExpensesAbstract,営業費用 [タイトル項目],Operating expenses,Operating expenses [abstract]
jppfs_cor:FinancialExpenses,金融費用,Financial expenses,Financial expenses
jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
jppfs_cor:CostOfSalesRealEstateCOSExpOA,不動産売上原価、営業活動による費用・売上原価,Cost of sales - real estate,Cost of sales-real estate-COSExpOA
jppfs_cor:CostOfRealEstateRentCOSExpOA,不動産賃貸原価、営業活動による費用・売上原価,Cost of real estate rent,Cost of real estate rent-COSExpOA
jppfs_cor:CostOfSales,売上原価,Cost of sales,Cost of sales
jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
jppfs_cor:OperatingExpenses,営業費用,Operating expenses,Operating expenses
jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
jppfs_cor:NonOperatingExpensesAbstract,営業外費用 [タイトル項目],Non-operating expenses,Non-operating expenses [abstract]
jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,Interest expenses,Interest expenses-NOE
jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
jppfs_cor:RetainedEarningsBroughtForwardPriorLIQ,前期繰越利益又は前期繰越損失（△）、資産流動化業,Retained earnings (deficit) brought forward,Retained earnings (deficit) brought forward-LIQ
jppfs_cor:InterimDividendsAbstractLIQ,中間配当額、資産流動化業 [タイトル項目],Interim dividends,Interim dividends-LIQ [abstract]
jppfs_cor:InterimDividendsSpecificSharesLIQ,優先出資中間配当額、資産流動化業,Interim dividends - preferred shares,Interim dividends - preferred shares-LIQ
jppfs_cor:InterimDividendsPreferredSharesLIQ,特定出資中間配当額、資産流動化業,Interim dividends - specific shares,Interim dividends - specific shares-LIQ
jppfs_cor:InterimDividendsLIQ,中間配当額、資産流動化業,Interim dividends,Interim dividends-LIQ
jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQ,当期未処分利益又は当期未処理損失（△）、資産流動化業,Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ
nan,,,
nan,,,
名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
