jppfs_cor:ThirdPartyAccessRevenueGAS,託送供給収益、ガス事業,Gas transportation service revenue,Gas transportation service revenue - GAS
jppfs_cor:RevenueFromInteroperatorSettlementGAS,事業者間精算収益、ガス事業,Revenue from interoperator settlement,Revenue from interoperator settlement - GAS
jppfs_cor:RevenueFromContractManufacturingGAS,受託製造収益、ガス事業,Revenue from contract manufacturing,Revenue from contract manufacturing - GAS
jppfs_cor:SalesFromGasBusinessGAS,ガス事業売上高、ガス事業,Sales from gas business,Sales from gas business - GAS
jppfs_cor:ProductSalesAbstractGAS,製品売上、ガス事業 [タイトル項目],Product sales,Product sales-GAS [abstract]
jppfs_cor:ProductSalesGAS,製品売上、ガス事業,Product sales,Product sales-GAS
jppfs_cor:CostOfSalesAbstract,売上原価 [タイトル項目],Cost of sales,Cost of sales [abstract]
jppfs_cor:BeginningInventoriesGAS,期首たな卸高、ガス事業,Beginning inventories,Beginning inventories-GAS
jppfs_cor:CostOfProductsManufactured,当期製品製造原価,Cost of products manufactured,Cost of products manufactured
jppfs_cor:PurchaseOfFinishedGoodsGAS,当期製品仕入高、ガス事業,Purchase of finished goods,Purchase of finished goods-GAS
jppfs_cor:CostsOfGasForOwnUseGAS,当期製品自家使用高、ガス事業,Costs of gas for own use,Costs of gas for own use-GAS
jppfs_cor:EndingInventoriesGAS,期末たな卸高、ガス事業,Ending inventories,Ending inventories-GAS
jppfs_cor:CostOfSales,売上原価,Cost of sales,Cost of sales
jppfs_cor:CostOfGasSalesGAS,ガス売上原価、ガス事業,Cost of gas sales,Cost of gas sales-GAS
jppfs_cor:CostOfInstallationWorkAndAppliancesSalesGAS,受注工事及び器具売上原価、ガス事業,Cost of installation work and appliances sales,Cost of installation work and appliances sales-GAS
jppfs_cor:CostOfSalesOnIncidentalBusinessGAS,附帯事業売上原価、ガス事業,Cost of sales on incidental business,Cost of sales on incidental business-GAS
jppfs_cor:GrossProfit,売上総利益又は売上総損失（△）,Gross profit (loss),Gross profit (loss)
jppfs_cor:SellingGeneralAndAdministrativeExpensesAbstractGAS,供給販売費及び一般管理費、ガス事業 [タイトル項目],"Selling, general and administrative expenses","Selling, general and administrative expenses-GAS [abstract]"
jppfs_cor:SupplyAndSalesExpensesGAS,供給販売費、ガス事業,Supply and sales expenses,Supply and sales expenses-GAS
