,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
138,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
139,jppfs_cor:StatementOfIncomeAbstract,損益計算書 [タイトル項目],Statement of income,Statement of income [abstract]
140,jppfs_cor:StatementOfIncomeTable,損益計算書 [表],Statement of income,Statement of income [table]
141,jppfs_cor:StatementOfIncomeLineItems,損益計算書 [表示項目],Statement of income,Statement of income [line items]
142,jppfs_cor:OperatingRevenueAbstractSEC,営業収益、第一種金融商品取引業 [タイトル項目],Operating revenue,Operating revenue-SEC [abstract]
143,jppfs_cor:CommissionReceivedORSEC,受入手数料、営業収益、第一種金融商品取引業,Commission received,Commission received-OR-SEC
144,jppfs_cor:CommissionToConsigneesORSEC,委託手数料、営業収益、第一種金融商品取引業,Commission to consignees,Commission to consignees-OR-SEC
145,jppfs_cor:CommissionForUnderwritingSecondaryDistributionAndSolicitationForSellingAndOthersForProfessionalInvestorsORSEC,引受け・売出し・特定投資家向け売付け勧誘等の手数料、営業収益、第一種金融商品取引業,"Commission for underwriting, secondary distribution and solicitation for selling and others for professional investors","Commission for underwriting, secondary distribution and solicitation for selling and others for professional investors-OR-SEC"
146,jppfs_cor:UnderwritingAndDistributionCommissionORSEC,引受け・売出し手数料、営業収益、第一種金融商品取引業,Underwriting and distribution commission,Underwriting and distribution commission-OR-SEC
147,jppfs_cor:FeeForOfferingSecondaryDistributionAndSolicitationForSellingAndOthersForProfessionalInvestorsORSEC,募集・売出し・特定投資家向け売付け勧誘等の取扱手数料、営業収益、第一種金融商品取引業,"Fee for offering, secondary distribution and solicitation for selling and others for professional investors","Fee for offering, secondary distribution and solicitation for selling and others for professional investors-OR-SEC"
148,jppfs_cor:FlotationAndDistributionFeeORSEC,募集・売出しの取扱手数料、営業収益、第一種金融商品取引業,Flotation and distribution fee,Flotation and distribution fee-OR-SEC
149,jppfs_cor:OtherFeesReceivedORSEC,その他の受入手数料、営業収益、第一種金融商品取引業,Other fees received,Other fees received-OR-SEC
150,jppfs_cor:NetTradingIncomeORSEC,トレーディング損益、営業収益、第一種金融商品取引業,Net trading income,Net trading income-OR-SEC
151,jppfs_cor:NetTradingIncomeFromSecuritiesORSEC,株券等トレーディング損益、営業収益、第一種金融商品取引業,Net trading income from securities,Net trading income from securities-OR-SEC
152,jppfs_cor:NetTradingIncomeFromBondsORSEC,債券等トレーディング損益、営業収益、第一種金融商品取引業,Net trading income from bonds,Net trading income from bonds-OR-SEC
153,jppfs_cor:OtherNetTradingIncomeORSEC,その他のトレーディング損益、営業収益、第一種金融商品取引業,Other net trading income,Other net trading income-OR-SEC
154,jppfs_cor:FinancialRevenueORSEC,金融収益、営業収益、第一種金融商品取引業,Financial revenue,Financial revenue-OR-SEC
155,jppfs_cor:NetGainOnTradingOfInvestmentSecuritiesForSaleSEC,営業投資有価証券売買損益、第一種金融商品取引業,Net gain on trading of investment securities for sale,Net gain on trading of investment securities for sale-SEC
156,jppfs_cor:OtherNetGainOnGoodsTradingSEC,その他の商品売買損益、第一種金融商品取引業,Other net gain on goods trading,Other net gain on goods trading-SEC
157,jppfs_cor:OperatingRevenueSEC,営業収益、第一種金融商品取引業,Operating revenue,Operating revenue-SEC
158,jppfs_cor:FinancialExpensesSEC,金融費用、第一種金融商品取引業,Financial expenses,Financial expenses-SEC
159,jppfs_cor:NetOperatingRevenueSEC,純営業収益、第一種金融商品取引業,Net operating revenue,Net operating revenue-SEC
160,jppfs_cor:SellingGeneralAndAdministrativeExpensesAbstract,販売費及び一般管理費 [タイトル項目],"Selling, general and administrative expenses","Selling, general and administrative expenses [abstract]"
161,jppfs_cor:TradingRelatedExpensesSGASEC,取引関係費、販売費及び一般管理費、第一種金融商品取引業,Trading related expenses,Trading related expenses-SGA-SEC
162,jppfs_cor:PersonalExpensesSGA,人件費、販売費及び一般管理費,Personnel expenses,Personnel expenses-SGA
163,jppfs_cor:RealEstateExpensesSGASEC,不動産関係費、販売費及び一般管理費、第一種金融商品取引業,Real estate expenses,Real estate expenses-SGA-SEC
164,jppfs_cor:OfficeCostSGA,事務費、販売費及び一般管理費,Office cost,Office cost-SGA
165,jppfs_cor:DepreciationSGA,減価償却費、販売費及び一般管理費,Depreciation,Depreciation-SGA
166,jppfs_cor:TaxesAndDuesSGA,租税公課、販売費及び一般管理費,Taxes and dues,Taxes and dues-SGA
167,jppfs_cor:ProvisionOfAllowanceForDoubtfulAccountsSGA,貸倒引当金繰入額、販売費及び一般管理費,Provision of allowance for doubtful accounts,Provision of allowance for doubtful accounts-SGA
168,jppfs_cor:OtherSGA,その他、販売費及び一般管理費,Other,Other-SGA
169,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,"Selling, general and administrative expenses","Selling, general and administrative expenses"
170,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
171,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
172,jppfs_cor:NonOperatingExpenses,営業外費用,Non-operating expenses,Non-operating expenses
173,jppfs_cor:OrdinaryIncome,経常利益又は経常損失（△）,Ordinary profit (loss),Ordinary profit (loss)
174,jppfs_cor:ExtraordinaryIncomeAbstract,特別利益 [タイトル項目],Extraordinary income,Extraordinary income [abstract]
175,jppfs_cor:ExtraordinaryProfitEISEC,臨時利益、特別利益、第一種金融商品取引業,Extraordinary profit,Extraordinary profit-EI-SEC
176,jppfs_cor:ReversalOfReserveForFinancialProductsTransactionLiabilitiesEISEC,金融商品取引責任準備金戻入、特別利益、第一種金融商品取引業,Reversal of reserve for financial products transaction liabilities,Reversal of reserve for financial products transaction liabilities-EI-SEC
177,jppfs_cor:ExtraordinaryIncome,特別利益,Extraordinary income,Extraordinary income
178,jppfs_cor:ExtraordinaryLossAbstract,特別損失 [タイトル項目],Extraordinary losses,Extraordinary losses [abstract]
179,jppfs_cor:LossOnValuationOfSecuritiesELSEC,有価証券評価減、特別損失、第一種金融商品取引業,Loss on valuation of securities,Loss on valuation of securities-EL-SEC
180,jppfs_cor:NonrecurringLossEL,臨時損失、特別損失,Nonrecurring loss,Nonrecurring loss-EL
181,jppfs_cor:ProvisionOfReserveForFinancialProductsTransactionLiabilitiesELSEC,金融商品取引責任準備金繰入れ、特別損失、第一種金融商品取引業,Provision of reserve for financial products transaction liabilities,Provision of reserve for financial products transaction liabilities-EL-SEC
182,jppfs_cor:ExtraordinaryLoss,特別損失,Extraordinary losses,Extraordinary losses
183,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,Profit (loss) before income taxes,Profit (loss) before income taxes
184,jppfs_cor:IncomeTaxes,法人税等,Income taxes,Income taxes
185,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,Income taxes - current,Income taxes-current
186,jppfs_cor:IncomeTaxesDeferred,法人税等調整額,Income taxes - deferred,Income taxes-deferred
187,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
188,jppfs_cor:ProfitAttributableToAbstract,内訳、当期純利益 [タイトル項目],Profit attributable to,Profit attributable to [abstract]
189,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,Profit (loss) attributable to non-controlling interests,Profit (loss) attributable to non-controlling interests
190,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,Profit (loss) attributable to owners of parent,Profit (loss) attributable to owners of parent
191,nan,,,
192,nan,,,
193,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
194,jppfs_cor:StatementOfChangesInEquityAbstract,株主資本等変動計算書 [タイトル項目],Statement of changes in equity,Statement of changes in equity [abstract]
195,jppfs_cor:StatementOfChangesInEquityTable,株主資本等変動計算書 [表],Statement of changes in equity,Statement of changes in equity [table]
196,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
197,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
198,jppfs_cor:ShareholdersEquityMember,株主資本 [メンバー],Shareholders' equity,Shareholders' equity [member]
199,jppfs_cor:CapitalStockMember,資本金 [メンバー],Capital stock,Capital stock [member]
200,jppfs_cor:CapitalSurplusMember,資本剰余金 [メンバー],Capital surplus,Capital surplus [member]
201,jppfs_cor:LegalCapitalSurplusMember,資本準備金 [メンバー],Legal capital surplus,Legal capital surplus [member]
202,jppfs_cor:OtherCapitalSurplusMember,その他資本剰余金 [メンバー],Other capital surplus,Other capital surplus [member]
203,jppfs_cor:RetainedEarningsMember,利益剰余金 [メンバー],Retained earnings,Retained earnings [member]
204,jppfs_cor:LegalRetainedEarningsMember,利益準備金 [メンバー],Legal retained earnings,Legal retained earnings [member]
205,jppfs_cor:OtherRetainedEarningsMember,その他利益剰余金 [メンバー],Other retained earnings,Other retained earnings [member]
206,jppfs_cor:RetainedEarningsBroughtForwardMember,繰越利益剰余金 [メンバー],Retained earnings brought forward,Retained earnings brought forward [member]
207,jppfs_cor:TreasuryStockMember,自己株式 [メンバー],Treasury shares,Treasury shares [member]
208,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
209,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
210,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
211,jppfs_cor:RevaluationReserveForLandMember,土地再評価差額金 [メンバー],Revaluation reserve for land,Revaluation reserve for land [member]
212,jppfs_cor:ForeignCurrencyTranslationAdjustmentMember,為替換算調整勘定 [メンバー],Foreign currency translation adjustment,Foreign currency translation adjustment [member]
