,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
166,jppfs_cor:InterimDividendsAbstractLIQ,中間配当額、資産流動化業 [タイトル項目],Interim dividends,Interim dividends-LIQ [abstract]
167,jppfs_cor:InterimDividendsSpecificSharesLIQ,優先出資中間配当額、資産流動化業,Interim dividends - preferred shares,Interim dividends - preferred shares-LIQ
168,jppfs_cor:InterimDividendsPreferredSharesLIQ,特定出資中間配当額、資産流動化業,Interim dividends - specific shares,Interim dividends - specific shares-LIQ
169,jppfs_cor:InterimDividendsLIQ,中間配当額、資産流動化業,Interim dividends,Interim dividends-LIQ
170,jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQ,当期未処分利益又は当期未処理損失（△）、資産流動化業,Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ
171,nan,,,
172,nan,,,
173,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
174,jppfs_cor:StatementOfCashFlowsAbstract,キャッシュ・フロー計算書 [タイトル項目],Statement of cash flows,Statement of cash flows [abstract]
175,jppfs_cor:StatementOfCashFlowsTable,キャッシュ・フロー計算書 [表],Statement of cash flows,Statement of cash flows [table]
176,jppfs_cor:StatementOfCashFlowsLineItems,キャッシュ・フロー計算書 [表示項目],Statement of cash flows,Statement of cash flows [line items]
177,jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstract,営業活動によるキャッシュ・フロー [タイトル項目],Cash flows from operating activities,Cash flows from operating activities [abstract]
178,jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
179,jppfs_cor:IncreaseDecreaseInSpecificBondsPayableOpeCFLIQ,特定社債の増減額（△は減少）、営業活動によるキャッシュ・フロー、資産流動化業,Increase (decrease) in specific bonds payable,Increase (decrease) in specific bonds payable-OpeCF-LIQ
180,jppfs_cor:NetCashProvidedByUsedInInvestmentActivitiesAbstract,投資活動によるキャッシュ・フロー [タイトル項目],Cash flows from investing activities,Cash flows from investing activities [abstract]
181,jppfs_cor:PurchaseOfSpecificAssetsInvCFLIQ,特定資産の取得による支出、投資活動によるキャッシュ・フロー、資産流動化業,Purchase of specific assets,Purchase of specific assets-InvCF-LIQ
182,jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
183,jppfs_cor:ProceedsFromIssuanceOfSpecificSharesFinCFLIQ,特定出資の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of specific shares,Proceeds from issuance of specific shares-FinCF-LIQ
184,jppfs_cor:ProceedsFromIssuanceOfPreferredSharesFinCFLIQ,優先出資の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of preferred shares,Proceeds from issuance of preferred shares-FinCF-LIQ
185,jppfs_cor:ProceedsFromIssuanceOfSpecificBondsPayableFinCFLIQ,特定社債の発行による収入、財務活動によるキャッシュ・フロー、資産流動化業,Proceeds from issuance of specific bonds payable,Proceeds from issuance of specific bonds payable-FinCF-LIQ
186,nan,,,
187,nan,,,
188,名前空間プレフィックス:要素名,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
189,jppfs_cor:StatementOfMembersEquityAbstract,社員資本等変動計算書 [タイトル項目],Statement of members' equity,Statement of members' equity [abstract]
190,jppfs_cor:StatementOfMembersEquityTable,社員資本等変動計算書 [表],Statement of members' equity,Statement of members' equity [table]
191,jppfs_cor:ComponentsOfEquityAxis,純資産の内訳項目 [軸],Components of equity,Components of equity [axis]
192,jppfs_cor:NetAssetsMember,純資産 [メンバー],Net assets,Net assets [member]
193,jppfs_cor:MembersEquityLIQMember,社員資本、資産流動化業 [メンバー],Members' equity,Members' equity-LIQ [member]
194,jppfs_cor:SpecificSharesLIQMember,特定資本金、資産流動化業 [メンバー],Specific shares,Specific shares-LIQ [member]
195,jppfs_cor:PreferredSharesLIQMember,優先資本金、資産流動化業 [メンバー],Preferred shares,Preferred shares-LIQ [member]
196,jppfs_cor:SurplusLIQMember,剰余金、資産流動化業 [メンバー],Surplus,Surplus-LIQ [member]
197,jppfs_cor:VoluntaryRetainedEarningsMember,任意積立金 [メンバー],Voluntary retained earnings,Voluntary retained earnings [member]
198,jppfs_cor:UnappropriatedRetainedEarningsUndisposedLossLIQMember,当期未処分利益又は当期未処理損失（△）、資産流動化業 [メンバー],Unappropriated retained earnings (undisposed loss),Unappropriated retained earnings (undisposed loss)-LIQ [member]
199,jppfs_cor:TreasurySpecificStockLIQMember,自己特定出資、資産流動化業 [メンバー],Treasury specific shares,Treasury specific shares-LIQ [member]
200,jppfs_cor:TreasuryPreferredStockLIQMember,自己優先出資、資産流動化業 [メンバー],Treasury preferred shares,Treasury preferred shares-LIQ [member]
201,jppfs_cor:ValuationAndTranslationAdjustmentsMember,評価・換算差額等 [メンバー],Valuation and translation adjustments,Valuation and translation adjustments [member]
202,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesMember,その他有価証券評価差額金 [メンバー],Valuation difference on available-for-sale securities,Valuation difference on available-for-sale securities [member]
203,jppfs_cor:DeferredGainsOrLossesOnHedgesMember,繰延ヘッジ損益 [メンバー],Deferred gains or losses on hedges,Deferred gains or losses on hedges [member]
204,jppfs_cor:SubscriptionRightsToPreferredSharesLIQMember,新優先出資引受権、資産流動化業 [メンバー],Subscription rights to preferred shares,Subscription rights to preferred shares-LIQ [member]
205,jppfs_cor:StatementOfMembersEquityLineItems,社員資本等変動計算書 [表示項目],Statement of members' equity,Statement of members' equity [line items]
206,jppfs_cor:NetAssets,純資産,Net assets,Net assets
207,jppfs_cor:ChangesOfItemsDuringThePeriodAbstract,当期変動額 [タイトル項目],Changes of items during period,Changes of items during period [abstract]
208,jppfs_cor:IssuanceOfSpecificSharesLIQ,特定出資の発行、資産流動化業,Issuance of specific shares,Issuance of specific shares-LIQ
209,jppfs_cor:IssuanceOfPreferredSharesLIQ,優先出資の発行、資産流動化業,Issuance of preferred shares,Issuance of preferred shares-LIQ
210,jppfs_cor:DividendsFromProfit,利益の配当,Dividends from profit,Dividends from profit
211,jppfs_cor:ProfitLoss,当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,Profit (loss),Profit (loss) (after amendment dated 2014-03-28)
212,jppfs_cor:PurchaseOfTreasuryPreferredStockLIQ,自己優先出資の取得、資産流動化業,Purchase of treasury preferred shares,Purchase of treasury preferred shares-LIQ
213,jppfs_cor:RetirementOfTreasuryPreferredStockLIQ,自己優先出資の消却、資産流動化業,Retirement of treasury preferred shares,Retirement of treasury preferred shares-LIQ
214,jppfs_cor:NetChangesOfItemsOtherThanShareholdersEquity,株主資本以外の項目の当期変動額（純額）,Net changes of items other than shareholders' equity,Net changes of items other than shareholders' equity
215,jppfs_cor:TotalChangesOfItemsDuringThePeriod,当期変動額合計,Total changes of items during period,Total changes of items during period
