タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesAssetsHeldForSaleCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－売却目的で保有する資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Assets held for sale,"Notes - Assets held for sale, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesAssetsHeldForSaleCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－売却目的で保有する資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Assets held for sale,"Notes - Assets held for sale, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesPropertyPlantAndEquipmentCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－有形固定資産、要約四半期財務諸表（IFRS） [目次項目],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesPropertyPlantAndEquipmentCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－有形固定資産、要約四半期財務諸表（IFRS） [テキストブロック],"Notes - Property, plant and equipment","Notes - Property, plant and equipment, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－のれん及び無形資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillAndIntangibleAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－のれん及び無形資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Goodwill and intangible assets,"Notes - Goodwill and intangible assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesGoodwillCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－のれん、要約四半期財務諸表（IFRS） [目次項目],Notes - Goodwill,"Notes - Goodwill, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesGoodwillCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－のれん、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Goodwill,"Notes - Goodwill, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesIntangibleAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－無形資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Intangible assets,"Notes - Intangible assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesIntangibleAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－無形資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Intangible assets,"Notes - Intangible assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesImpairmentLossesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－減損損失、要約四半期財務諸表（IFRS） [目次項目],Notes - Impairment losses,"Notes - Impairment losses, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesImpairmentLossesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－減損損失、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Impairment losses,"Notes - Impairment losses, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentPropertyCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－投資不動産、要約四半期財務諸表（IFRS） [目次項目],Notes - Investment property,"Notes - Investment property, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentPropertyCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－投資不動産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Investment property,"Notes - Investment property, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－持分法で会計処理されている投資、要約四半期財務諸表（IFRS） [目次項目],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesInvestmentsAccountedForUsingEquityMethodCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－持分法で会計処理されている投資、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Investments accounted for using equity method,"Notes - Investments accounted for using equity method, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesBiologicalAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－生物資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Biological assets,"Notes - Biological assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesBiologicalAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－生物資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Biological assets,"Notes - Biological assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－鉱物資源の探査及び評価、要約四半期財務諸表（IFRS） [目次項目],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesExplorationForAndEvaluationOfMineralResourcesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－鉱物資源の探査及び評価、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Exploration for and evaluation of mineral resources,"Notes - Exploration for and evaluation of mineral resources, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherInvestmentsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の投資、要約四半期財務諸表（IFRS） [目次項目],Notes - Other investments,"Notes - Other investments, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherInvestmentsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の投資、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other investments,"Notes - Other investments, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の金融資産及びその他の金融負債、要約四半期財務諸表（IFRS） [目次項目],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsAndOtherFinancialLiabilitiesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産及びその他の金融負債、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other financial assets and other financial liabilities,"Notes - Other financial assets and other financial liabilities, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherFinancialAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の金融資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Other financial assets,"Notes - Other financial assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherFinancialAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の金融資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other financial assets,"Notes - Other financial assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の流動資産及びその他の非流動資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsAndOtherNonCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産及びその他の非流動資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other current assets and other non-current assets,"Notes - Other current assets and other non-current assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の流動資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Other current assets,"Notes - Other current assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の流動資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other current assets,"Notes - Other current assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherNonCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の非流動資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Other non-current assets,"Notes - Other non-current assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherNonCurrentAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の非流動資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other non-current assets,"Notes - Other non-current assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の資産及びその他の負債、要約四半期財務諸表（IFRS） [目次項目],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsAndOtherLiabilitiesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の資産及びその他の負債、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other assets and other liabilities,"Notes - Other assets and other liabilities, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesOtherAssetsCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－その他の資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Other assets,"Notes - Other assets, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesOtherAssetsCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－その他の資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Other assets,"Notes - Other assets, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－繰延税金及び法人所得税、要約四半期財務諸表（IFRS） [目次項目],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesDeferredTaxesAndIncomeTaxesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－繰延税金及び法人所得税、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Deferred taxes and income taxes,"Notes - Deferred taxes and income taxes, Condensed quarterly financial statements (IFRS) [text block]"
