タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
jpigp_cor:NotesTradeAndOtherReceivablesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－営業債権及びその他の債権、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivablesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－営業債権、要約四半期財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivablesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－営業債権、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivables2CondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－売上債権及びその他の債権、要約四半期財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivables2CondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－売上債権及びその他の債権、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables 2, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeReceivables2CondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－売上債権、要約四半期財務諸表（IFRS） [目次項目],Notes - Trade receivables,"Notes - Trade receivables 2, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeReceivables2CondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－売上債権、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Trade receivables,"Notes - Trade receivables 2, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesTradeAndOtherReceivables3CondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－売掛金及びその他の債権、要約四半期財務諸表（IFRS） [目次項目],Notes - Trade and other receivables,"Notes - Trade and other receivables 3, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesTradeAndOtherReceivables3CondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－売掛金及びその他の債権、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Trade and other receivables,"Notes - Trade and other receivables 3, Condensed quarterly financial statements (IFRS) [text block]"
jpigp_cor:NotesInventoriesCondensedQuarterlyFinancialStatementsIFRSHeading,注記事項－棚卸資産、要約四半期財務諸表（IFRS） [目次項目],Notes - Inventories,"Notes - Inventories, Condensed quarterly financial statements (IFRS) [heading]"
jpigp_cor:NotesInventoriesCondensedQuarterlyFinancialStatementsIFRSTextBlock,注記事項－棚卸資産、要約四半期財務諸表（IFRS） [テキストブロック],Notes - Inventories,"Notes - Inventories, Condensed quarterly financial statements (IFRS) [text block]"
