,タクソノミ,冗長ラベル（日本語）,標準ラベル（英語）,冗長ラベル（英語）
212,jppfs_cor:HeatingLightingAndSuppliesExpensesSGAWAT,光熱・消耗品費、一般管理費、海運業,"Heating, lighting and supplies expenses","Heating, lighting and supplies expenses-SGA-WAT"
213,jppfs_cor:TaxesAndDuesSGA,租税公課、販売費及び一般管理費,Taxes and dues,Taxes and dues-SGA
214,jppfs_cor:PropertyMaintenanceExpensesSGAWAT,資産維持費、一般管理費、海運業,Property maintenance expenses,Property maintenance expenses-SGA-WAT
215,jppfs_cor:DepreciationSGA,減価償却費、販売費及び一般管理費,Depreciation,Depreciation-SGA
216,jppfs_cor:EntertainmentExpensesSGA,交際費、販売費及び一般管理費,Entertainment expenses,Entertainment expenses-SGA
217,jppfs_cor:MembershipExpensesAndDonationSGAWAT,会費・寄付金、一般管理費、海運業,Membership expenses and donation,Membership expenses and donation-SGA-WAT
218,jppfs_cor:ProvisionOfAllowanceForDoubtfulAccountsSGA,貸倒引当金繰入額、販売費及び一般管理費,Provision of allowance for doubtful accounts,Provision of allowance for doubtful accounts-SGA
219,jppfs_cor:BadDebtsExpensesSGA,貸倒損失、販売費及び一般管理費,Bad debts expenses,Bad debts expenses-SGA
220,jppfs_cor:OtherGeneralAndAdministrativeExpensesWAT,その他一般管理費、海運業,Other general and administrative expenses,Other general and administrative expenses-WAT
221,jppfs_cor:GeneralAndAdministrativeExpensesWAT,一般管理費、海運業,General and administrative expenses,General and administrative expenses-WAT
222,jppfs_cor:OperatingIncome,営業利益又は営業損失（△）,Operating profit (loss),Operating profit (loss)
223,jppfs_cor:NonOperatingIncomeAbstract,営業外収益 [タイトル項目],Non-operating income,Non-operating income [abstract]
224,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,Interest income,Interest income-NOI
225,jppfs_cor:InterestOnSecuritiesNOI,有価証券利息、営業外収益,Interest on securities,Interest on securities-NOI
226,jppfs_cor:DividendsIncomeNOI,受取配当金、営業外収益,Dividend income,Dividend income-NOI
227,jppfs_cor:GainOnSalesOfSecuritiesNOI,有価証券売却益、営業外収益,Gain on sales of securities,Gain on sales of securities-NOI
228,jppfs_cor:OtherNOI,その他、営業外収益,Other,Other-NOI
229,jppfs_cor:NonOperatingIncome,営業外収益,Non-operating income,Non-operating income
